web-scraper-order,web-scraper-start-url,price,rooms,bathrooms,sizem2,zone
"1606144719-1101","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=272","1.318€","4 Hab","2 Baños","113m2","Sants / Monjuïc, Sants-Badal, Barcelona"
"1606145281-4224","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=64","1.000€","2 Hab","1 Baño","75m2","Horta-Guinardó, Baix Guinardó, Barcelona"
"1606145399-4877","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=20","1.450€","3 Hab","2 Baños","100m2","Calle Sepulveda, Eixample, Sant Antoni, Barcelona"
"1606144841-1775","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=227","1.300€","3 Hab","2 Baños","135m2","Avenida Mare de Deu de Montserrat, Horta-Guinardó, Can Baró, Barcelona"
"1606145164-3575","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=107","1.250€","2 Hab","1 Baño","65m2","Sants / Monjuïc, El Poble-sec, Barcelona"
"1606144809-1601","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=239","1.200€","3 Hab","1 Baño","63m2","Les Corts, Barcelona"
"1606144626-584","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=307","1.800€","2 Hab","2 Baños","80m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606144949-2381","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=187","1.000€","4 Hab","2 Baños","78m2","Sant Martí, Parc i Llacuna del Poblenou, Barcelona"
"1606144677-859","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=288","815€","3 Hab","1 Baño","60m2","Calle Cerdanyola, Sants / Monjuïc, Sants-Badal, Barcelona"
"1606145016-2758","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=162","2.100€","3 Hab","2 Baños","153m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145162-3557","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=108","1.450€","1 Hab","1 Baño","55m2","Ciutat Vella, Gòtic, Barcelona"
"1606144995-2638","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=170","850€","3 Hab","1 Baño","65m2","Ciutat Vella, Raval, Barcelona"
"1606144596-418","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=318","900€","1 Hab","1 Baño","55m2","Calle calle de Muntaner, Eixample, Antiga Esquerra Eixample, Barcelona"
"1606145421-5004","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=12","907€","1 Hab","1 Baño","44m2","Carrer de Mallorca 435, Eixample, Sagrada Família, Barcelona"
"1606144571-288","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=326","1.100€","2 Hab","1 Baño","92m2","Sarrià / Sant Gervasi, Les Tres Torres, Barcelona"
"1606145145-3478","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=114","1.100€","3 Hab","2 Baños","78m2","Horta-Guinardó, Guinardó, Barcelona"
"1606144831-1711","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=231","3.500€","3 Hab","3 Baños","220m2","Diagonal, Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145062-3013","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=145","3.000€","3 Hab","3 Baños","170m2","Eixample, Dreta Eixample, Barcelona"
"1606145067-3037","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=143","850€","1 Hab","1 Baño","40m2","Cl arago, Eixample, Dreta Eixample, Barcelona"
"1606144717-1091","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=273","1.050€","3 Hab","2 Baños","80m2","Calle Comte Borrell, Eixample, Sant Antoni, Barcelona"
"1606144817-1640","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=236","1.100€","4 Hab","2 Baños","80m2","Sant Martí, Parc i Llacuna del Poblenou, Barcelona"
"1606144901-2102","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=205","1.090€","3 Hab","2 Baños","136m2","Ciutat Vella, Gòtic, Barcelona"
"1606145415-4974","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=14","1.100€","2 Hab","1 Baño","78m2","Portola, Sarrià / Sant Gervasi, El Putxet i el Farró, Barcelona"
"1606144704-1018","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=278","1.200€","1 Hab","1 Baño","50m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145410-4950","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=16","1.900€","4 Hab","3 Baños","180m2","Ciutat Vella, Sant Pere - Santa Caterina i la Ribera, Barcelona"
"1606145429-5048","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=9","950€","3 Hab","1 Baño","90m2","Carrer de Sicília 382, Gràcia, Camp d'en Grassot i Gràcia Nova, Barcelona"
"1606144669-812","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=291","800€","3 Hab","1 Baño","100m2","caballero, Les Corts, Barcelona"
"1606144541-133","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=337","1.200€","4 Hab","1 Baño","85m2","Joaquin costa, Ciutat Vella, Raval, Barcelona"
"1606144973-2513","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=178","890€","2 Hab","1 Baño","58m2","Sant Andreu, Navas, Barcelona"
"1606145355-4649","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=36","1.191€","2 Hab","2 Baños","95m2","Ciutat Vella, Gòtic, Barcelona"
"1606144693-954","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=282","1.319€","2 Hab","2 Baños","92m2","Correu vell, Ciutat Vella, Gòtic, Barcelona"
